LOCUSTAG,SPECIES,FILENAME,CONTIG_COUNT,TOTAL_LENGTH,MIN,MAX,MEDIAN,MEAN,L50,N50,L90,N90,GC%,T2T_SCAFFOLDS,TELOMERE_FWD,TELOMERE_REV
Aaoar1,Aaosphaeria arxii,Aaoar1,55,38901049,1000,5683700,7799,707291.80,4,4421818,13,1183166,49.70,0,0,0
Abobie1,Abortiporus biennis,Abobie1,73,33118568,1982,2155831,386788,453679.01,16,721010,42,264716,44.59,0,0,3
Abscae1,Absidia caerulea,Abscae1,68,44401174,5174,4591736,29841,652958.44,6,3623315,12,2060733,41.35,0,0,0
Absrep1,Absidia repens,Absrep1,94,47422896,1315,3895514,245966,504498.89,11,1295254,41,354051,38.15,0,0,0
Acain1,Acaromyces ingoldii,Acain1,28,19330111,1328,4518647,44572,690361.11,3,3164722,8,845561,57.40,6,11,6
Acema1,Acephala macrosclerotiorum,Acema1,1695,73683338,1000,1309879,9071,43471.00,110,172550,539,22532,38.09,0,16,16
Aciaci1,Acidothrix acidophila,Aciaci1,713,37766571,1021,699726,31512,52968.54,112,101868,392,27396,51.98,0,5,2
Aciri1_iso,Acidomyces sp. 'richmondensis',Aciri1_iso,3164,29883570,350,215673,1998,9444.87,191,41652,1086,4206,49.33,0,22,11
Acrchr1,Hapsidospora chrysogena,Acrchr1,540,28563214,303,878651,10951,52894.84,49,166906,178,35794,55.21,0,12,5
AcreTS7_1,Emericellopsis sp.,AcreTS7_1,114,27300990,1005,1473484,59884,239482.37,14,758458,40,162843,54.17,0,4,7
Agabi_varbisH97_2,Agaricus bisporus,Agabi_varbisH97_2,29,30233745,2580,3343696,626669,1042542.93,6,2334609,14,877174,46.17,0,0,1
Agahy1,Sterigmatomyces hyphaenes,Agahy1,108,17894169,1005,1649997,21756,165686.75,8,720429,29,143037,54.00,0,2,4
Agrped1,Agrocybe pediades,Agrped1,1384,45056484,1002,703159,9588,32555.26,107,104667,525,17128,47.16,0,2,4
Agrpra2,Agrocybe praecox,Agrpra2,508,46411657,1030,2434466,22539,91361.53,32,349516,189,32930,43.49,0,0,13
Albpec1,Xanthoporus peckianus,Albpec1,239,48114380,1005,3465603,18183,201315.40,12,1422104,39,243442,47.64,0,0,9
Alikh1,Aliquandostipite khaoyaiensis,Alikh1,1759,119520317,1070,611208,45032,67947.88,311,117107,999,36115,33.17,2,13,38
Altal1,Alternaria alternata,Altal1,79,32990834,1034,2531235,172133,417605.49,12,1097884,31,330818,51.40,0,4,2
Altbr1,Alternaria brassicicola,Altbr1,838,31974449,68,4166607,1006,38155.67,6,2486070,15,865155,47.88,1,8,8
Altro1,Alternaria rosae,Altro1,52,33831682,1660,5613983,16712,650609.27,4,3278090,11,939425,52.03,1,1,9
Amaapr1,Amanita muscaria,Amaapr1,316,110261529,17117,5886630,46979,348928.89,15,2171544,74,151479,47.04,0,1,0
Amamu1,Amanita muscaria,Amamu1,1101,40699759,1011,1491530,5757,36966.18,54,168151,306,21539,41.86,0,1,0
Amarub1,Amanita rubescens,Amarub1,817,76593165,1992,1667397,47000,93749.28,102,158644,516,37886,47.30,0,1,0
Amath1,Amanita thiersii,Amath1,1446,33689220,1003,1038040,7702,23298.22,95,77057,630,9313,44.58,0,0,2
Ambph1,Ambrosiozyma philentoma,Ambph1,474,17710905,122,1123490,425,37364.78,12,547646,44,98848,35.05,0,2,0
Amnli1,Amniculicola lignicola,Amnli1,510,49576578,1002,1718517,12392,97208.98,36,438754,132,84224,47.02,0,23,13
Amore1,Amorphotheca resinae,Amore1,32,28632928,2016,4111889,16576,894779.00,6,1980626,12,1329131,47.33,8,12,12
Ampqui1,Ampelomyces quisqualis,Ampqui1,73,36811257,1114,6306646,5369,504263.79,4,4300649,12,832708,46.00,2,9,4
AmpWSBS2006_1,Amphiamblys sp. WSBS2006,AmpWSBS2006_1,1727,5620147,202,85208,976,3254.28,114,12035,748,1217,50.22,0,1,0
Amycha1,Amylostereum chailletii,Amycha1,2032,38204724,1002,396323,8299,18801.54,238,43122,984,8725,51.11,0,10,5
